lp,kol1,kol2,kol3,kol4,kol5
100,0.90864229749407766,0.074158471663984732,0.13383418163959482,0.13402865642533929,1
101,0.91065997339617655,0.10665633033180436,0.16164220605119189,0.15527689671778616,1
102,0.90917897310473794,0.20962885943364123,0.26457359625604437,0.26784226861644189,1
103,0.90978670681018936,0.23116507200497899,0.28428847766089055,0.28463628833539512,1
104,0.91340131989522855,0.066437448679956462,0.12551851459915556,0.11804993484662252,1
105,0.91113494066136025,0.1102709434168435,0.17352573743009711,0.16685375631917124,1
106,0.9063740483103464,0.21485162940079816,0.27123996751738144,0.2793518100227616,1
107,0.90128030488373145,0.22194060933115689,0.27959303355507925,0.27072012145548757,1
108,0.90213113207136353,0.085901756803170373,0.14023315007053322,0.14038461600943036,1
109,0.9037673382014253,0.10228812745200536,0.15780506893246435,0.15889150980282532,1
110,0.8986025366800191,0.20681645483979805,0.2579764131396356,0.27252275312334978,1
111,0.91107323231588355,0.229975783892157,0.28607240983012355,0.27666843196946039,1
112,0.90674616833306898,0.073502119262097126,0.13421752136149498,0.12570737953531125,1
113,0.91534980765239915,0.10954914276975343,0.17047771915352503,0.16963811166507051,1
114,0.9074997581278289,0.20258475829999278,0.25795958359086929,0.26401635119689193,1
115,0.90301187845680253,0.21463658516656148,0.26372837891800105,0.27512198343281924,1
116,0.90561671861586068,0.067187298574990451,0.12455549041974781,0.12701821438922353,1
117,0.90805700318698135,0.10532866592912572,0.15872134436529889,0.17238880791343708,1
118,0.91164169707421361,0.22292420295905682,0.27353813589891951,0.27588866287661956,1
119,0.90553444082189194,0.21780802013408679,0.26906147592707075,0.27774178319078086,1
120,0.91163234732489895,0.073459110415249787,0.13098063814876723,0.1275698495987872,1
121,0.91472337444831842,0.10317074378730721,0.16041551894111136,0.15855304887763541,1
122,0.9048313396734311,0.20940072555036407,0.26124134560030732,0.26654452341157009,1
123,0.90398986223511368,0.22123937813255901,0.27279576580333725,0.26289064137940948,1
124,0.91005410964058808,0.072896255506508564,0.1313377985725864,0.12074453259910127,1
125,0.91245325531472421,0.10807188237804058,0.16104943194464383,0.16893501051660972,1
126,0.91654283566494699,0.21630645039415589,0.27607939776263818,0.27649265668234518,1
127,0.914785082793795,0.2258114055474171,0.28245405684535857,0.27574093683744827,1
128,0.91741610225093417,0.089645396428751523,0.1469275705798142,0.14564852487357172,1
129,0.9147121547491408,0.10838790390487536,0.16003778906879998,0.15737124056426513,1
130,0.91307033876949029,0.21082936724564078,0.26661932140608724,0.26822373838847913,1
131,0.90896392887050126,0.21986309503344426,0.27896286045127261,0.27429546559340523,1
132,0.91861474011307076,0.083188459552062347,0.14252009875289373,0.1407660857814676,1
133,0.91600429010442386,0.11287017372631293,0.17219807302741846,0.16719408719422407,1
134,0.90355416391705157,0.20234914461726389,0.25918627070094979,0.26117215745537897,1
